Name,State,Country,Address,Latitude,Longitude,Google Map Link,Domestic/International,Type
AUH - Terminal 2,Abu Dhabi,United Arab Emirates,Al Muwatin St,24.4191961,54.6560501,https://www.google.com/maps/place/?q=place_id:ChIJT6Q-UwJJXj4RBTwimiaGKRY,Domestic,Unknown
Royal Jordanian Airlines,Abu Dhabi,United Arab Emirates,Terminal 1 Airport Road,24.427224,54.646409,https://www.google.com/maps/place/?q=place_id:ChIJDVdb4OZIXj4RltRcb0-6C5o,Domestic,Unknown
Abu dhabi avation,Abu Dhabi,United Arab Emirates,CG3X+QC2 - Al Fursan St,24.4043778,54.5485148,https://www.google.com/maps/place/?q=place_id:ChIJrSWiTgBHXj4RXurnnfB_VUg,Domestic,Airport
Abu Dhabi Intl Aiport Terminal 1+3,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4265667,54.6453003,https://www.google.com/maps/place/?q=place_id:ChIJ-_Ho7eZIXj4RYeu1emlraZY,Domestic,Unknown
"DFS Zayed International Airport, Abu Dhabi",Abu Dhabi,United Arab Emirates,Abu Dhabi International Airport,24.4308968,54.6400696,https://www.google.com/maps/place/?q=place_id:ChIJ9fvzqyhJXj4RpNVy-1d2Gh0,International,Airport
Zayed International Airport ECC,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4497033,54.6312299,https://www.google.com/maps/place/?q=place_id:ChIJLVF8d0pPXj4RqZZN4_6Nb3s,International,Airport
Mansoor Airfield,Abu Dhabi,United Arab Emirates,F94Q+FM5,24.4561358,54.3892309,https://www.google.com/maps/place/?q=place_id:ChIJLev1UwBpXj4Rra1nnKqY98k,Domestic,Airport
AUH - Terminal 3,Abu Dhabi,United Arab Emirates,Al Tirhal St,24.427754,54.6424758,https://www.google.com/maps/place/?q=place_id:ChIJnQbL4edIXj4R8kjwdv-k24A,Domestic,Unknown
Saudi Arabian Airlines,Abu Dhabi,United Arab Emirates,Terminal 1 - Airport Road,24.427224,54.646409,https://www.google.com/maps/place/?q=place_id:ChIJDVdb4OZIXj4RsH6ijhlbtFk,Domestic,Unknown
Etihad Cargo,Abu Dhabi,United Arab Emirates,Cargo Terminal,24.4235061,54.6518311,https://www.google.com/maps/place/?q=place_id:ChIJi9bkDfdJXj4Rx9zggjPPhaY,Domestic,Unknown
Läderach - Zayed International Airport,أبو ظبي,United Arab Emirates,"Between Departure and Arrivals, Terminal A - Abu Dhabi Airport",24.4517037,54.6403477,https://www.google.com/maps/place/?q=place_id:ChIJ6ZD0cwBPXj4RX4LvxCC8Wzw,International,Airport
Singapore Airlines,Abu Dhabi,United Arab Emirates,Terminal 1 Airport Road,24.427224,54.646409,https://www.google.com/maps/place/?q=place_id:ChIJDVdb4OZIXj4RK80iO8A3yeE,Domestic,Unknown
Chauffeur Arrival,أبو ظبي,United Arab Emirates,CJHV+5MJ - Int'l Airport Rd,24.4279561,54.6441534,https://www.google.com/maps/place/?q=place_id:ChIJA_9Q6edIXj4RRflZIySjPAY,Domestic,Unknown
DHL Global Forwarding,Abu Dhabi,United Arab Emirates,"Logistics Park, Express Zone, Near Al Ghazal Golf Club، Abu Dhabi International Airport",24.413336,54.6512932,https://www.google.com/maps/place/?q=place_id:ChIJm-i-DZtoXj4RwY0OIQqMKbQ,Domestic,Unknown
Le Gourmet - Abu Dhabi Airport,أبو ظبي,United Arab Emirates,"Abu Dhabi International Airport, Terminal A",24.4505387,54.6429146,https://www.google.com/maps/place/?q=place_id:ChIJ1a67Y5pPXj4RR1TT-lXUYag,Domestic,Airport
Wingstop Airport Road AUH,Abu Dhabi,United Arab Emirates,732 Sheikh Rashid Bin Saeed St,24.458919,54.3807104,https://www.google.com/maps/place/?q=place_id:ChIJU-Cf04dpXj4RHFyITgQSgf0,Domestic,Airport
Abu Dhabi Airport Lost & Found - Airside,Abu Dhabi,United Arab Emirates,"Abu Dhabi International Airport - Level 3 Departures, Airside",24.4502631,54.642478,https://www.google.com/maps/place/?q=place_id:ChIJyUeWVNZPXj4RxQPvd_bfQ1I,Domestic,Airport
Turkish Airlines Inc Abu Dhabi,Abu Dhabi,United Arab Emirates,Dhafir Tower - 2nd floor,24.4902776,54.370462,https://www.google.com/maps/place/?q=place_id:ChIJcWn9C1FmXj4RsbwJjPT_cFU,Domestic,Unknown
SIXT - Abu Dhabi AIRPORT Terminal A,أبو ظبي,United Arab Emirates,Abu Dhabi Airport Terminal A,24.4511075,54.642399,https://www.google.com/maps/place/?q=place_id:ChIJKcUETm1PXj4Rdt9c8PLmp54,Domestic,Airport
AVIONHAZE CARGO LLC-DANGEROUS GOODS FREIGHT FORWARDING - AUH Branch,Abu Dhabi,United Arab Emirates,"Zayed International Airport, Cargo Terminal - 8 DIWAN BUILDING",24.4235413,54.6526424,https://www.google.com/maps/place/?q=place_id:ChIJzUZgKPdJXj4Re6V-BeYj5ps,Domestic,Unknown
Morafiq Off Airport City Check-in,Abu Dhabi,United Arab Emirates,38 Al Arzaq St,24.3254421,54.5323011,https://www.google.com/maps/place/?q=place_id:ChIJzXjPLQA5Xj4Rk6JVMtW5YHA,Domestic,Airport
Airport Garden Restaurant,Abu Dhabi,United Arab Emirates,opposite international airport,24.4226172,54.6467541,https://www.google.com/maps/place/?q=place_id:ChIJA6HbTLxJXj4Rs3mHYcx7I7E,Domestic,Airport
Hertz - Abu Dhabi Airport,Abu Dhabi,United Arab Emirates,Zayed International Airport - FJ2V 84,24.4515654,54.6400711,https://www.google.com/maps/place/?q=place_id:ChIJY8zVZD5mXj4R-4_vaGEcqng,Domestic,Airport
Air Arabia Abu Dhabi Head Quarter,Abu Dhabi,United Arab Emirates,Al Tirhal St,24.42919,54.6406884,https://www.google.com/maps/place/?q=place_id:ChIJrYw4bpNJXj4R__Kqlrswzjs,Domestic,Unknown
GI Aviation,أبو ظبي,United Arab Emirates,"Airport Road, Al Fahim Building, Office 402",24.424967,54.447169,https://www.google.com/maps/place/?q=place_id:ChIJ_VPfTm5CXj4RNIzR0O2E0Pw,Domestic,Unknown
Bateen Airport Office,Abu Dhabi,United Arab Emirates,CFG4+2CG,24.4250741,54.4560729,https://www.google.com/maps/place/?q=place_id:ChIJUXpLZp5DXj4Ri10X2Rpav7o,Domestic,Airport
Gulf Air,أبو ظبي,United Arab Emirates,F9Q5+H24 Liwa Street - 10th Street,24.4888771,54.3575741,https://www.google.com/maps/place/?q=place_id:ChIJJ49AK3tmXj4RjqwQHK2nkDQ,Domestic,Unknown
